CP	Bitmap
20	0000000000
21	0000fa0000
22	00c000c000
23	28fe28fe28
24	2454fe5448
25	c4c8102646
26	6c92aa440a
27	00a0c00000
28	0038448200
29	0082443800
2a	28107c1028
2b	10107c1010
2c	000a0c0000
2d	1010101010
2e	0006060000
2f	0408102040
30	7c8a92a27c
31	0042fe0200
32	42868a9262
33	8482a2d28c
34	182848fe08
35	e4a2a2a29c
36	3c5292920c
37	808e90a0c0
38	6c9292926c
39	6092929478
3a	006c6c0000
3b	006a6c0000
3c	0010284400
3d	0028282800
3e	0044281000
3f	40808a9060
40	4c929e827e
41	7e8888887e
42	fe9292926c
43	7c82828244
44	fe82824438
45	fe92929282
46	fe90909080
47	7c8292925e
48	fe101010fe
49	0082fe8200
4a	040282fc80
4b	fe10284482
4c	fe02020202
4d	fe403040fe
4e	fe201008fe
4f	7c8282827c
50	fe90909060
51	7c828a847a
52	fe90989462
53	629292928c
54	8080fe8080
55	fc020202fc
56	f8040204f8
57	fc021c02fc
58	c6281028c6
59	e0100e10e0
5a	868a92a2c2
5b	00fe828200
5c	4020100804
5d	008282fe00
5e	2040804020
5f	0202020202
60	0000c0a000
61	042a2a2a1e
62	fe1222221c
63	1c22222204
64	1c222212fe
65	1c2a2a2a18
66	107e908040
67	304a4a4a7c
68	fe1020201e
69	0022be0200
6a	040222bc00
6b	fe08142200
6c	0082fe0200
6d	3e2018201e
6e	3e1020201e
6f	1c2222221c
70	3e28282810
71	102828183e
72	3e10202010
73	122a2a2a04
74	20fc220204
75	3c0202043e
76	3804020438
77	3c020c023c
78	2214081422
79	300a0a0a3c
7a	22262a3222
7b	00106c8200
7c	0000fe0000
7d	00826c1000
7e	1010543810
7f	1038541010
80	00fe442810
81	00fe7c3810
82	fe0a12120c
83	00f8283e00
84	6c6c106c6c
85	fe14fe1418