id	xf	sp
ff	7f	---
00	00	M, ,
01		b5
02	07	aug
03	20	sus4
04	01	6
05	04	(9),add9
06	06	6(9),6add9
07	02	M7
08		M7(b5)
09	1c	M7aug
0a	05	M7(9),M7add9
0b	03	M7(#11)
0c	08	m
0d	21	sus2
0e	09	m6
0f	0c	m(9),madd9
10		m6(9),m6add9
11	0a	m7
12	0b	m7b5
13		m7aug
14	0d	m7(9),m7add9
15	0e	m7(11)
16	0f	mM7
17		mM7b5
18	10	mM7(9),mM7add9
19	13	7
1a	14	7sus4
1b	15	7b5
1c	1d	7aug
1d	19	7(b9)
1e	16	7(9),7add9
1f	1b	7(#9)
20	17	7(#11)
21	1a	7(b13)
22	18	7(13)
23	11	dim
24	12	dim7
25	1e	1+8
26	1f	5,1+5
27		sus2sus4,sus2/4
fe	22	cc